indicator,level,coefficients,confint_lower,confint_upper
xg,season_level,2.293,0.638,3.947
xg,match_level,0.897,0.709,1.084
xg,scoreline_level,0.09,0.02,0.16
xg,possession_level,0.029,0.017,0.042
shots,season_level,0.852,0.161,1.543
shots,match_level,0.324,0.186,0.461
shots,scoreline_level,0.223,0.151,0.295
shots,possession_level,0.035,0.022,0.047
passes,season_level,1.106,0.29,1.922
passes,match_level,0.203,0.07,0.336
passes,scoreline_level,0.353,0.283,0.423
passes,possession_level,0.082,0.069,0.095
highpasses,season_level,-0.544,-1.126,0.038
highpasses,match_level,-0.192,-0.323,-0.06
highpasses,scoreline_level,0.166,0.098,0.233
highpasses,possession_level,0.012,-0.001,0.024
groundpasses,season_level,1.158,0.328,1.987
groundpasses,match_level,0.233,0.1,0.367
groundpasses,scoreline_level,0.314,0.245,0.383
groundpasses,possession_level,0.094,0.082,0.107
pressuredpasses,season_level,0.909,0.224,1.594
pressuredpasses,match_level,0.19,0.059,0.321
pressuredpasses,scoreline_level,0.275,0.206,0.345
pressuredpasses,possession_level,0.045,0.033,0.058
pass_length,season_level,1.122,0.31,1.934
pass_length,match_level,0.203,0.07,0.335
pass_length,scoreline_level,0.369,0.298,0.44
pass_length,possession_level,0.067,0.054,0.079
crosses,season_level,0.341,-0.218,0.901
crosses,match_level,-0.023,-0.152,0.106
crosses,scoreline_level,0.348,0.275,0.422
crosses,possession_level,0.043,0.03,0.055
dribbles,season_level,0.858,0.226,1.49
dribbles,match_level,0.251,0.12,0.382
dribbles,scoreline_level,0.194,0.125,0.262
dribbles,possession_level,0.037,0.025,0.05
tackles,season_level,-0.692,-1.297,-0.086
tackles,match_level,-0.095,-0.224,0.034
tackles,scoreline_level,-0.097,-0.164,-0.03
tackles,possession_level,-0.015,-0.027,-0.002
tackles_success,season_level,-0.591,-1.16,-0.021
tackles_success,match_level,0.033,-0.097,0.162
tackles_success,scoreline_level,-0.003,-0.07,0.063
tackles_success,possession_level,-0.005,-0.017,0.008
interceptions,season_level,-0.739,-1.361,-0.117
interceptions,match_level,-0.036,-0.165,0.092
interceptions,scoreline_level,-0.027,-0.095,0.041
interceptions,possession_level,-0.021,-0.033,-0.008
pressures,season_level,-0.962,-1.665,-0.259
pressures,match_level,-0.189,-0.32,-0.059
pressures,scoreline_level,-0.346,-0.416,-0.276
pressures,possession_level,-0.053,-0.065,-0.04
blocks,season_level,-0.559,-1.154,0.037
blocks,match_level,-0.018,-0.147,0.111
blocks,scoreline_level,-0.174,-0.243,-0.105
blocks,possession_level,-0.026,-0.038,-0.013
fouls,season_level,-0.791,-1.4,-0.182
fouls,match_level,-0.093,-0.223,0.037
fouls,scoreline_level,-0.146,-0.213,-0.079
fouls,possession_level,-0.024,-0.036,-0.012
counterattacks,season_level,0.205,-0.31,0.72
counterattacks,match_level,0.181,0.043,0.319
counterattacks,scoreline_level,0.07,-0.001,0.141
counterattacks,possession_level,0.006,-0.007,0.018
passes_att3rd,season_level,0.73,0.07,1.39
passes_att3rd,match_level,0.107,-0.025,0.239
passes_att3rd,scoreline_level,0.323,0.252,0.394
passes_att3rd,possession_level,0.048,0.036,0.061
passes_scorebox,season_level,0.492,-0.086,1.07
passes_scorebox,match_level,-0.1,-0.23,0.029
passes_scorebox,scoreline_level,0.344,0.272,0.416
passes_scorebox,possession_level,0.044,0.032,0.057
vertical_passing_dist,season_level,1.016,0.286,1.746
vertical_passing_dist,match_level,0.233,0.099,0.367
vertical_passing_dist,scoreline_level,0.395,0.322,0.468
vertical_passing_dist,possession_level,0.033,0.02,0.045
actions_scorebox,season_level,0.845,0.12,1.569
actions_scorebox,match_level,0.146,0.015,0.278
actions_scorebox,scoreline_level,0.459,0.383,0.534
actions_scorebox,possession_level,0.066,0.053,0.078
